"Age","Attrition","BusinessTravel","Department","DistanceFromHome","Education","EducationField","Gender","JobRole","MaritalStatus","NumCompaniesWorked","OverTime","TotalWorkingYears"
41,"Yes","Travel_Rarely","Sales","Near",2,"Life Sciences","Female","Sales Executive","Single","7-9","Yes","0-10"
49,"No","Travel_Frequently","Research & Development","Near",1,"Life Sciences","Male","Research Scientist","Married","0-3","No","0-10"
37,"Yes","Travel_Rarely","Research & Development","Near",2,"Other","Male","Laboratory Technician","Single","4-6","Yes","0-10"
33,"No","Travel_Frequently","Research & Development","Near",4,"Life Sciences","Female","Research Scientist","Married","0-3","Yes","0-10"
27,"No","Travel_Rarely","Research & Development","Near",1,"Medical","Male","Laboratory Technician","Married","7-9","No","0-10"
32,"No","Travel_Frequently","Research & Development","Near",2,"Life Sciences","Male","Laboratory Technician","Single","0-3","No","0-10"
59,"No","Travel_Rarely","Research & Development","Near",3,"Medical","Female","Laboratory Technician","Married","4-6","Yes","11-20"
30,"No","Travel_Rarely","Research & Development","Very Far",1,"Life Sciences","Male","Laboratory Technician","Divorced","0-3","No","0-10"
38,"No","Travel_Frequently","Research & Development","Very Far",3,"Life Sciences","Male","Manufacturing Director","Single","0-3","No","0-10"
36,"No","Travel_Rarely","Research & Development","Very Far",3,"Medical","Male","Healthcare Representative","Married","4-6","No","11-20"
35,"No","Travel_Rarely","Research & Development","Far",3,"Medical","Male","Laboratory Technician","Married","0-3","No","0-10"
29,"No","Travel_Rarely","Research & Development","Far",2,"Life Sciences","Female","Laboratory Technician","Single","0-3","Yes","0-10"
31,"No","Travel_Rarely","Research & Development","Very Far",1,"Life Sciences","Male","Research Scientist","Divorced","0-3","No","0-10"
34,"No","Travel_Rarely","Research & Development","Far",2,"Medical","Male","Laboratory Technician","Divorced","0-3","No","0-10"
28,"Yes","Travel_Rarely","Research & Development","Very Far",3,"Life Sciences","Male","Laboratory Technician","Single","4-6","Yes","0-10"
29,"No","Travel_Rarely","Research & Development","Very Far",4,"Life Sciences","Female","Manufacturing Director","Divorced","0-3","No","0-10"
32,"No","Travel_Rarely","Research & Development","Near",2,"Life Sciences","Male","Research Scientist","Divorced","0-3","Yes","0-10"
22,"No","Non-Travel","Research & Development","Far",2,"Medical","Male","Laboratory Technician","Divorced","0-3","Yes","0-10"
53,"No","Travel_Rarely","Sales","Near",4,"Life Sciences","Female","Manager","Married","0-3","No","31-40"
38,"No","Travel_Rarely","Research & Development","Near",3,"Life Sciences","Male","Research Scientist","Single","4-6","Yes","0-10"
24,"No","Non-Travel","Research & Development","Far",2,"Other","Female","Manufacturing Director","Divorced","0-3","No","0-10"
36,"Yes","Travel_Rarely","Sales","Near",4,"Life Sciences","Male","Sales Representative","Single","7-9","No","0-10"
34,"No","Travel_Rarely","Research & Development","Near",4,"Life Sciences","Female","Research Director","Single","0-3","No","11-20"
21,"No","Travel_Rarely","Research & Development","Far",2,"Life Sciences","Male","Research Scientist","Single","0-3","No","0-10"
34,"Yes","Travel_Rarely","Research & Development","Near",1,"Medical","Male","Research Scientist","Single","0-3","No","0-10"
53,"No","Travel_Rarely","Research & Development","Near",3,"Other","Female","Manager","Divorced","4-6","No","21-30"
32,"Yes","Travel_Frequently","Research & Development","Far",1,"Life Sciences","Female","Research Scientist","Single","0-3","Yes","0-10"
42,"No","Travel_Rarely","Sales","Near",4,"Marketing","Male","Sales Executive","Married","0-3","No","0-10"
44,"No","Travel_Rarely","Research & Development","Near",4,"Medical","Female","Healthcare Representative","Married","0-3","No","21-30"
46,"No","Travel_Rarely","Sales","Near",4,"Marketing","Female","Manager","Single","0-3","No","21-30"
33,"No","Travel_Rarely","Research & Development","Near",3,"Medical","Male","Laboratory Technician","Single","4-6","No","0-10"
44,"No","Travel_Rarely","Research & Development","Near",4,"Other","Male","Healthcare Representative","Married","0-3","Yes","0-10"
30,"No","Travel_Rarely","Research & Development","Near",2,"Medical","Male","Laboratory Technician","Single","0-3","No","0-10"
39,"Yes","Travel_Rarely","Sales","Near",3,"Technical Degree","Male","Sales Representative","Married","0-3","No","11-20"
24,"Yes","Travel_Rarely","Research & Development","Near",3,"Medical","Male","Research Scientist","Married","0-3","Yes","0-10"
43,"No","Travel_Rarely","Research & Development","Near",2,"Medical","Female","Research Scientist","Divorced","0-3","No","0-10"
50,"Yes","Travel_Rarely","Sales","Near",2,"Marketing","Male","Sales Representative","Married","0-3","Yes","0-10"
35,"No","Travel_Rarely","Sales","Near",3,"Marketing","Female","Sales Representative","Married","0-3","No","0-10"
36,"No","Travel_Rarely","Research & Development","Near",4,"Life Sciences","Female","Research Scientist","Married","7-9","Yes","0-10"
33,"No","Travel_Frequently","Sales","Near",3,"Life Sciences","Female","Sales Executive","Married","0-3","No","0-10"
35,"No","Travel_Rarely","Research & Development","Near",2,"Other","Male","Laboratory Technician","Divorced","0-3","No","0-10"
27,"No","Travel_Rarely","Research & Development","Near",4,"Life Sciences","Female","Laboratory Technician","Divorced","0-3","No","0-10"
26,"Yes","Travel_Rarely","Research & Development","Very Far",3,"Life Sciences","Male","Laboratory Technician","Single","0-3","No","0-10"
27,"No","Travel_Frequently","Sales","Near",3,"Life Sciences","Male","Sales Executive","Single","0-3","No","0-10"
30,"No","Travel_Frequently","Research & Development","Near",2,"Medical","Female","Laboratory Technician","Single","0-3","No","11-20"
41,"Yes","Travel_Rarely","Research & Development","Far",3,"Technical Degree","Female","Research Director","Married","0-3","No","21-30"
34,"No","Non-Travel","Sales","Very Far",4,"Marketing","Male","Sales Executive","Single","0-3","No","0-10"
37,"No","Travel_Rarely","Research & Development","Far",2,"Life Sciences","Male","Research Scientist","Married","4-6","No","0-10"
46,"No","Travel_Frequently","Sales","Near",4,"Marketing","Male","Sales Executive","Single","4-6","Yes","11-20"
35,"No","Travel_Rarely","Research & Development","Near",1,"Life Sciences","Male","Laboratory Technician","Married","0-3","No","0-10"
48,"Yes","Travel_Rarely","Research & Development","Near",2,"Life Sciences","Male","Laboratory Technician","Single","7-9","Yes","21-30"
28,"Yes","Travel_Rarely","Research & Development","Near",4,"Technical Degree","Male","Laboratory Technician","Single","0-3","Yes","0-10"
44,"No","Travel_Rarely","Sales","Near",5,"Marketing","Female","Sales Executive","Divorced","4-6","Yes","0-10"
35,"No","Non-Travel","Research & Development","Far",2,"Medical","Male","Healthcare Representative","Married","0-3","Yes","0-10"
26,"No","Travel_Rarely","Sales","Very Far",3,"Marketing","Female","Sales Executive","Married","7-9","Yes","0-10"
33,"No","Travel_Frequently","Research & Development","Near",2,"Life Sciences","Female","Research Director","Single","0-3","Yes","11-20"
35,"No","Travel_Frequently","Sales","Far",5,"Life Sciences","Male","Sales Executive","Married","0-3","No","0-10"
35,"No","Travel_Rarely","Research & Development","Very Far",4,"Medical","Female","Laboratory Technician","Married","0-3","Yes","0-10"
31,"No","Travel_Rarely","Research & Development","Near",4,"Life Sciences","Male","Laboratory Technician","Divorced","0-3","No","0-10"
37,"No","Travel_Rarely","Research & Development","Near",4,"Life Sciences","Male","Manufacturing Director","Divorced","0-3","No","0-10"
32,"No","Travel_Rarely","Research & Development","Near",3,"Medical","Male","Manufacturing Director","Married","0-3","Yes","0-10"
38,"No","Travel_Frequently","Research & Development","Very Far",5,"Life Sciences","Female","Laboratory Technician","Single","0-3","No","0-10"
50,"No","Travel_Rarely","Research & Development","Near",2,"Medical","Female","Research Director","Divorced","4-6","Yes","21-30"
59,"No","Travel_Rarely","Sales","Very Far",3,"Life Sciences","Female","Sales Executive","Single","7-9","No","21-30"
36,"No","Travel_Rarely","Research & Development","Near",3,"Technical Degree","Female","Healthcare Representative","Divorced","0-3","No","11-20"
55,"No","Travel_Rarely","Research & Development","Near",3,"Medical","Female","Manager","Divorced","0-3","Yes","21-30"
36,"No","Travel_Frequently","Research & Development","Far",3,"Life Sciences","Male","Manufacturing Director","Single","0-3","No","0-10"
45,"No","Travel_Rarely","Research & Development","Near",3,"Life Sciences","Male","Research Scientist","Divorced","0-3","No","21-30"
35,"No","Travel_Frequently","Research & Development","Near",3,"Medical","Male","Research Scientist","Married","4-6","No","0-10"
36,"Yes","Travel_Rarely","Research & Development","Near",3,"Medical","Male","Research Scientist","Married","0-3","Yes","0-10"
59,"No","Travel_Frequently","Sales","Near",1,"Life Sciences","Female","Sales Executive","Single","7-9","No","11-20"
29,"No","Travel_Rarely","Research & Development","Near",3,"Life Sciences","Male","Research Scientist","Married","0-3","No","0-10"
31,"No","Travel_Rarely","Research & Development","Near",4,"Medical","Male","Research Scientist","Single","0-3","No","0-10"
32,"No","Travel_Rarely","Research & Development","Near",3,"Life Sciences","Male","Research Scientist","Married","0-3","No","0-10"
36,"No","Travel_Rarely","Research & Development","Near",3,"Life Sciences","Female","Laboratory Technician","Married","0-3","No","0-10"
31,"No","Travel_Rarely","Research & Development","Near",4,"Life Sciences","Female","Manufacturing Director","Single","0-3","No","11-20"
35,"No","Travel_Rarely","Sales","Near",4,"Marketing","Male","Sales Executive","Single","0-3","No","11-20"
45,"No","Travel_Rarely","Research & Development","Near",4,"Other","Male","Research Director","Married","4-6","Yes","11-20"
37,"No","Travel_Rarely","Research & Development","Near",4,"Medical","Male","Research Director","Single","4-6","No","11-20"
46,"No","Travel_Rarely","Human Resources","Near",2,"Medical","Male","Human Resources","Divorced","7-9","Yes","11-20"
30,"No","Travel_Rarely","Research & Development","Near",1,"Life Sciences","Male","Laboratory Technician","Married","0-3","Yes","0-10"
35,"No","Travel_Rarely","Research & Development","Near",3,"Medical","Male","Research Scientist","Single","0-3","No","0-10"
55,"No","Travel_Rarely","Sales","Near",2,"Life Sciences","Male","Sales Executive","Married","0-3","No","21-30"
38,"No","Non-Travel","Research & Development","Near",3,"Medical","Female","Research Scientist","Divorced","7-9","Yes","11-20"
34,"No","Travel_Rarely","Research & Development","Near",2,"Medical","Male","Manufacturing Director","Married","0-3","No","0-10"
56,"No","Travel_Rarely","Research & Development","Near",3,"Life Sciences","Male","Manufacturing Director","Single","4-6","No","31-40"
23,"No","Travel_Rarely","Sales","Near",1,"Technical Degree","Male","Sales Representative","Divorced","0-3","No","0-10"
